"Nomencalture"	"RImean_all"	"RImean_distal"	"RImean_lastQ"	"TPEImean_all"	"TPEImean_distal"	"TPEImean_lastQ"
"68"	"POGmacr"	41.8522300987817	39.8509591568067	75.1639072510041	78.8561603087537	78.8561603087537	97.4244491767019
"69"	"POGlori"	36.596120345777	32.7317177179557	48.3598957167714	66.6005977964782	66.6005977964782	66.3564725884186
"70"	"POGsylv"	36.1487862736798	31.2649173065263	44.6053626566309	67.2920480417813	67.2920480417813	57.2237850682148
"71"	"POGsylv"	37.7192043631384	33.4881306497813	56.66139306833	68.0847075941437	68.0847075941437	65.9909406413206
"72"	"PROfell"	42.4959036136458	33.1023838080049	59.0220053285399	71.7298791003365	71.7298791003365	57.5606100691248
"73"	"PROfell"	40.4283179427018	35.4196248895192	76.1461509269319	66.3171424937609	66.3171424937609	73.9028106332725
"74"	"PROfell"	31.5324365769519	25.8106062250616	43.0095589659164	60.9120999754619	60.9120999754619	47.6461567119802
"75"	"PSEaust"	34.3461185467138	27.3859458454266	37.0576557773188	63.8176540318949	63.8176540318949	43.8272395580282
"76"	"RATmacl"	41.8362183383379	34.1531889350692	43.5521220331203	80.9346166519102	80.9346166519102	63.7705473910249
"77"	"RATnati"	49.5793689408936	41.2396909349144	57.0574403926028	96.8303758176916	96.8303758176916	77.0534677621618
"78"	"RHYisar"	45.5123544751925	35.7345189420494	44.4983435257695	78.8210421832661	78.8210421832661	56.8814859238749
"79"	"SOLsapi"	47.3519900752483	39.5850385989811	57.9153021697309	96.7243654840676	96.7243654840676	82.2725321232181
"80"	"SOLsapi"	44.7052281299642	37.5441651745526	52.9202254624972	91.1159528349136	91.1159528349136	65.0880742149928
"81"	"TAEarcu"	31.1888951782689	24.0498425803146	31.5958454429502	58.1139699965368	58.1139699965368	37.8548184552365
"82"	"THAspce"	33.5293625183955	25.1607797100029	28.6425018019268	59.1170917653484	59.1170917653484	38.0168953526394
"83"	"UROcaud"	37.0216244550231	29.8193563537581	41.7025050379316	66.3417942575379	66.3417942575379	45.3834068053484
"84"	"UROcaud"	35.6580513184828	26.3926243120334	33.7455358582673	71.4932424323056	71.4932424323056	48.8297486120603
"85"	"UROimpe"	49.3968848634706	40.1723116149894	56.8750608561529	91.7365492673512	91.7365492673512	73.9461513177876
"86"	"UROimpe"	52.3902771830386	43.760442517922	65.3606422389817	88.4936296579112	88.4936296579112	62.6904537572107
"87"	"UROrex_"	45.152534972459	35.5739536390055	50.5032025945673	95.8273533539859	95.8273533539859	75.8790356966022
"88"	"UROrex_"	47.1367077032493	38.9705235648703	54.8832738772563	93.4263020843762	93.4263020843762	70.7214003060731
"89"	"VANoler"	28.7844104861425	24.9396855090751	43.3446905622086	53.7853108654871	53.7853108654871	46.8653463169643
"90"	"ZYZargu"	30.3758733732175	16.7764139708729	18.1905737600759	61.405903458657	61.405903458657	27.1480563178718
